table	column	rows_or_sum	min	max
RefSpectra	<rows>	31046		
RefSpectra	precursorMZ	19741136.835261468	400.552150712872	900.4881617243019
RefSpectra	retentionTime	356701.3649667378	2.292317053383	20.195483387233
RefSpectra	startTime	354003.60134535324	2.08057824165	20.102799316383
RefSpectra	endTime	359750.799681109	2.355230473333	20.416527837667
RefSpectra	score	32.99113051338592	6.588917440864466E-05	0.009983908718548859
RefSpectra	ionMobility	0	0	0
RetentionTimes	<rows>	93097		
RetentionTimes	retentionTime	920148.928741249	2.292286859467	20.217495573283
RetentionTimes	startTime	1061597.1401238963	2.076404061367	20.124279591
RetentionTimes	endTime	1078989.8557083944	2.329662109283	20.416527837667
RetentionTimes	score	3847.755603206344	6.588917440864466E-05	1
OspreyRunScores	<rows>	31046		
OspreyRunScores	RunQValue	16.909622752498493	6.588917440864466E-05	0.00990027979051582
OspreyRunScores	DiscriminantScore	0	0	0
OspreyRunScores	PosteriorErrorProb	0	0	0
OspreyExperimentScores	<rows>	31046		
OspreyExperimentScores	ExperimentQValue	32.99113051338592	6.588917440864466E-05	0.009983908718548859
OspreyPeakBoundaries	<rows>	31046		
OspreyPeakBoundaries	StartRT	354003.60134535324	2.08057824165	20.102799316383
OspreyPeakBoundaries	EndRT	359750.799681109	2.355230473333	20.416527837667
OspreyPeakBoundaries	ApexRT	356701.3649667378	2.292317053383	20.195483387233
OspreyPeakBoundaries	ApexIntensity	0	0	0
OspreyPeakBoundaries	IntegratedArea	382765290.6838798	0	6464214.47692899
OspreyCoefficients	<rows>	0		
OspreyCoefficients	RT			
OspreyCoefficients	Coefficient			
RefSpectraProteins	<rows>	34520		
Modifications	<rows>	6117		
Modifications	mass	348800.2952879679	57.021464	57.021464
Proteins	<rows>	5059		
SpectrumSourceFiles	<rows>	3		
SpectrumSourceFiles	cutoffScore	0.03	0.01	0.01
OspreyMetadata	<rows>	4		
PeakDigest	<rows>	31046		
